Date,Open,High,Low,Close,Volume,Price,Adj Close
2025-04-08 16:30:52,5.1736,5.2245,5.1736,5.2108,5601.5,5.2108,5.2108
2025-04-08 16:45:52,5.2144,5.2514,5.2144,5.2345,3848.1,5.2345,5.2345
2025-04-08 17:00:52,5.2487,5.252,5.2221,5.2422,5692.8,5.2422,5.2422
2025-04-08 17:15:52,5.2366,5.2366,5.201,5.2023,3090.1,5.2023,5.2023
2025-04-08 17:30:52,5.2123,5.2128,5.1714,5.186,5227.2,5.186,5.186
2025-04-08 17:45:52,5.1901,5.2024,5.1781,5.1968,13284.6,5.1968,5.1968
2025-04-08 18:00:52,5.1959,5.2153,5.1809,5.2018,15153.5,5.2018,5.2018
2025-04-08 18:15:52,5.2051,5.2374,5.1927,5.2236,12507.4,5.2236,5.2236
2025-04-08 18:30:52,5.2277,5.2455,5.1617,5.1889,15778.7,5.1889,5.1889
2025-04-08 18:45:52,5.1995,5.2123,5.1648,5.2035,1456.3,5.2035,5.2035
2025-04-08 19:00:52,5.1954,5.2334,5.1934,5.2052,1232.2,5.2052,5.2052
2025-04-08 19:15:52,5.2062,5.2202,5.1705,5.1713,1704.9,5.1713,5.1713
2025-04-08 19:30:52,5.1616,5.178,5.1293,5.1309,1299.1,5.1309,5.1309
2025-04-08 19:45:52,5.1315,5.1443,5.0876,5.0896,7206.3,5.0896,5.0896
2025-04-08 20:00:52,5.0979,5.1107,5.0654,5.0784,2431.7,5.0784,5.0784
2025-04-08 20:15:52,5.0771,5.0957,5.0603,5.0856,1361.5,5.0856,5.0856
2025-04-08 20:30:52,5.0833,5.1217,5.0833,5.1098,1257.6,5.1098,5.1098
2025-04-08 20:45:52,5.1067,5.1118,5.0801,5.0991,607.6,5.0991,5.0991
2025-04-08 21:00:52,5.0957,5.0986,5.0794,5.0794,1984.8,5.0794,5.0794
2025-04-08 21:15:52,5.0728,5.0742,5.0474,5.0672,1487.3,5.0672,5.0672
2025-04-08 21:30:52,5.0758,5.0758,4.9549,4.9669,876.1,4.9669,4.9669
2025-04-08 21:45:52,4.9784,4.9904,4.9503,4.9757,1473.2,4.9757,4.9757
2025-04-08 22:00:52,4.9763,4.9938,4.93,4.949,5896.0,4.949,4.949
2025-04-08 22:15:52,4.9458,4.9504,4.8936,4.9055,1256.7,4.9055,4.9055
2025-04-08 22:30:52,4.9047,4.9886,4.8741,4.9612,5906.4,4.9612,4.9612
2025-04-08 22:45:52,4.9491,4.963,4.9257,4.9613,4786.2,4.9613,4.9613
2025-04-08 23:00:52,4.9624,4.9787,4.9398,4.9398,5282.3,4.9398,4.9398
2025-04-08 23:15:52,4.9384,4.9931,4.9384,4.9631,1131.9,4.9631,4.9631
2025-04-08 23:30:52,4.974,5.0063,4.9549,4.9597,7786.5,4.9597,4.9597
2025-04-08 23:45:52,4.965,4.9733,4.9491,4.9491,1822.2,4.9491,4.9491
2025-04-09 00:00:52,4.9588,4.9676,4.9083,4.9111,2168.9,4.9111,4.9111
2025-04-09 00:15:52,4.9122,4.93,4.9023,4.9241,480.6,4.9241,4.9241
2025-04-09 00:30:52,4.9235,4.9235,4.8715,4.8715,2578.2,4.8715,4.8715
2025-04-09 00:45:52,4.8767,4.9031,4.7726,4.7875,21482.7,4.7875,4.7875
2025-04-09 01:00:52,4.7986,4.8132,4.7757,4.8132,2421.9,4.8132,4.8132
2025-04-09 01:15:52,4.821,4.831,4.7831,4.7917,5079.0,4.7917,4.7917
2025-04-09 01:30:52,4.7959,4.8497,4.7959,4.8478,1798.8,4.8478,4.8478
2025-04-09 01:45:52,4.8463,4.8513,4.8192,4.8268,3057.1,4.8268,4.8268
2025-04-09 02:00:52,4.8313,4.8464,4.8022,4.8097,480.9,4.8097,4.8097
2025-04-09 02:15:52,4.8054,4.8086,4.7735,4.7783,4177.3,4.7783,4.7783
2025-04-09 02:30:52,4.7707,4.8165,4.7582,4.8125,3465.3,4.8125,4.8125
2025-04-09 02:45:52,4.8136,4.8243,4.8083,4.8132,539.7,4.8132,4.8132
2025-04-09 03:00:52,4.8118,4.8125,4.748,4.7591,3990.0,4.7591,4.7591
2025-04-09 03:15:52,4.7681,4.7724,4.7303,4.7494,3315.7,4.7494,4.7494
2025-04-09 03:30:52,4.7396,4.7436,4.694,4.7199,2016.0,4.7199,4.7199
2025-04-09 03:45:52,4.7098,4.7601,4.7076,4.7584,1191.2,4.7584,4.7584
2025-04-09 04:00:52,4.7561,4.76,4.7294,4.7398,163.2,4.7398,4.7398
2025-04-09 04:15:52,4.7314,4.7631,4.7215,4.743,375.7,4.743,4.743
2025-04-09 04:30:52,4.748,4.7766,4.748,4.7549,252.4,4.7549,4.7549
2025-04-09 04:45:52,4.7642,4.7724,4.7546,4.7704,320.3,4.7704,4.7704
2025-04-09 05:00:52,4.7728,4.804,4.739,4.8025,3265.5,4.8025,4.8025
2025-04-09 05:15:52,4.7956,4.8032,4.7775,4.7906,1602.0,4.7906,4.7906
2025-04-09 05:30:52,4.7916,4.8139,4.7568,4.7678,1972.7,4.7678,4.7678
2025-04-09 05:45:52,4.7687,4.7865,4.7466,4.7543,2794.4,4.7543,4.7543
2025-04-09 06:00:52,4.754,4.7641,4.65,4.65,3449.2,4.65,4.65
2025-04-09 06:15:52,4.6594,4.6729,4.554,4.5655,13767.2,4.5655,4.5655
2025-04-09 06:30:52,4.5827,4.7001,4.5827,4.6611,7567.8,4.6611,4.6611
2025-04-09 06:45:52,4.6847,4.744,4.6847,4.732,1534.8,4.732,4.732
2025-04-09 07:00:52,4.7355,4.7818,4.7355,4.7696,1721.5,4.7696,4.7696
2025-04-09 07:15:52,4.7745,4.7747,4.727,4.7306,371.6,4.7306,4.7306
2025-04-09 07:30:52,4.7372,4.7471,4.6874,4.6874,4273.0,4.6874,4.6874
2025-04-09 07:45:52,4.6907,4.6954,4.6662,4.6694,679.2,4.6694,4.6694
2025-04-09 08:00:52,4.6721,4.6996,4.6646,4.6787,1540.0,4.6787,4.6787
2025-04-09 08:15:52,4.6839,4.6839,4.6406,4.6426,213.4,4.6426,4.6426
2025-04-09 08:30:52,4.6456,4.6668,4.638,4.6485,366.8,4.6485,4.6485
2025-04-09 08:45:52,4.6503,4.6787,4.6493,4.6698,1143.5,4.6698,4.6698
2025-04-09 09:00:52,4.6707,4.7342,4.6656,4.7164,5168.6,4.7164,4.7164
2025-04-09 09:15:52,4.7281,4.7494,4.6993,4.7032,925.5,4.7032,4.7032
2025-04-09 09:30:52,4.7097,4.7833,4.7061,4.7704,691.5,4.7704,4.7704
2025-04-09 09:45:52,4.7591,4.7876,4.7427,4.7532,694.8,4.7532,4.7532
2025-04-09 10:00:52,4.7584,4.7933,4.7514,4.7782,677.3,4.7782,4.7782
2025-04-09 10:15:52,4.7841,4.8195,4.7745,4.8114,1044.1,4.8114,4.8114
2025-04-09 10:30:52,4.8054,4.8211,4.7972,4.8121,1585.2,4.8121,4.8121
2025-04-09 10:45:52,4.8131,4.824,4.7934,4.8078,2690.7,4.8078,4.8078
2025-04-09 11:00:52,4.8116,4.8464,4.8076,4.8464,2602.0,4.8464,4.8464
2025-04-09 11:15:52,4.8388,4.8388,4.8021,4.8146,720.3,4.8146,4.8146
2025-04-09 11:30:52,4.8126,4.8255,4.7995,4.8255,174.2,4.8255,4.8255
2025-04-09 11:45:52,4.8195,4.8212,4.7917,4.7917,152.1,4.7917,4.7917
2025-04-09 12:00:52,4.7945,4.8572,4.7945,4.8456,9457.9,4.8456,4.8456
2025-04-09 12:15:52,4.8506,4.8672,4.8376,4.8656,1447.4,4.8656,4.8656
2025-04-09 12:30:52,4.8532,4.8977,4.8472,4.8939,5074.4,4.8939,4.8939
2025-04-09 12:45:52,4.8957,4.8957,4.8722,4.886,477.6,4.886,4.886
2025-04-09 13:00:52,4.8914,4.8987,4.8583,4.8583,1093.4,4.8583,4.8583
2025-04-09 13:15:52,4.863,4.8908,4.8599,4.8751,906.5,4.8751,4.8751
2025-04-09 13:30:52,4.8716,4.8716,4.8483,4.8557,378.0,4.8557,4.8557
2025-04-09 13:45:52,4.8552,4.8604,4.8404,4.8528,5919.4,4.8528,4.8528
2025-04-09 14:00:52,4.8593,4.8645,4.8481,4.8568,1186.8,4.8568,4.8568
2025-04-09 14:15:52,4.8532,4.8532,4.833,4.8343,6706.3,4.8343,4.8343
2025-04-09 14:30:52,4.8318,4.8319,4.8202,4.8298,1225.8,4.8298,4.8298
2025-04-09 14:45:52,4.8368,4.841,4.8218,4.8301,413.9,4.8301,4.8301
2025-04-09 15:00:52,4.827,4.8359,4.8107,4.8346,713.7,4.8346,4.8346
2025-04-09 15:15:52,4.8429,4.8429,4.8214,4.829,4731.9,4.829,4.829
