Date,Open,High,Low,Close,Volume,Price,Adj Close
2024-09-25 00:40:36,1.7198,1.7455,1.7182,1.7415,50398.5,1.7415,1.7415
2024-09-25 01:40:36,1.7407,1.7582,1.7288,1.7512,99714.4,1.7512,1.7512
2024-09-25 02:40:36,1.7517,1.826,1.7515,1.7921,545347.0,1.7921,1.7921
2024-09-25 03:40:36,1.7999,1.846,1.7977,1.8321,604933.4,1.8321,1.8321
2024-09-25 04:40:36,1.8317,1.8321,1.8086,1.8092,217847.3,1.8092,1.8092
2024-09-25 05:40:36,1.8134,1.8391,1.7931,1.8133,1006257.3,1.8133,1.8133
2024-09-25 06:40:36,1.8142,1.8678,1.8142,1.8424,770492.2,1.8424,1.8424
2024-09-25 07:40:36,1.8437,1.8893,1.8386,1.87,512190.6,1.87,1.87
2024-09-25 08:40:36,1.8684,1.8784,1.8616,1.8729,201421.5,1.8729,1.8729
2024-09-25 09:40:36,1.8732,1.88,1.8413,1.8413,383166.1,1.8413,1.8413
2024-09-25 10:40:36,1.8414,1.8513,1.8257,1.833,294807.2,1.833,1.833
2024-09-25 11:40:36,1.8341,1.8342,1.801,1.803,486455.5,1.803,1.803
2024-09-25 12:40:36,1.8025,1.8152,1.7984,1.8118,72219.5,1.8118,1.8118
2024-09-25 13:40:36,1.8115,1.8237,1.8048,1.8074,174290.8,1.8074,1.8074
2024-09-25 14:40:36,1.8063,1.8245,1.8061,1.8099,106747.6,1.8099,1.8099
2024-09-25 15:40:36,1.81,1.8291,1.8071,1.8205,302216.5,1.8205,1.8205
2024-09-25 16:40:36,1.8182,1.8455,1.8164,1.8424,149852.2,1.8424,1.8424
2024-09-25 17:40:36,1.8428,1.855,1.8326,1.8366,281929.0,1.8366,1.8366
2024-09-25 18:40:36,1.8366,1.8671,1.8359,1.8456,299031.8,1.8456,1.8456
2024-09-25 19:40:36,1.8507,1.8902,1.8481,1.889,387266.3,1.889,1.889
2024-09-25 20:40:36,1.8878,2.0477,1.8878,2.0024,2100085.9,2.0024,2.0024
2024-09-25 21:40:36,2.002,2.1153,1.9975,2.076,1626804.9,2.076,2.076
2024-09-25 22:40:36,2.0827,2.1047,2.0413,2.0488,1763188.4,2.0488,2.0488
2024-09-25 23:40:36,2.0513,2.1436,2.0433,2.1367,929901.9,2.1367,2.1367
2024-09-26 00:40:36,2.1365,2.1365,2.1068,2.1097,1182907.3,2.1097,2.1097
2024-09-26 01:40:36,2.1086,2.1427,2.1056,2.1267,528126.8,2.1267,2.1267
2024-09-26 02:40:36,2.1235,2.1374,2.1046,2.1048,172230.4,2.1048,2.1048
2024-09-26 03:40:36,2.1095,2.1456,2.0795,2.1324,730616.5,2.1324,2.1324
2024-09-26 04:40:36,2.1336,2.1409,2.0872,2.1073,622066.6,2.1073,2.1073
2024-09-26 05:40:36,2.1069,2.1786,2.0599,2.0832,1772369.2,2.0832,2.0832
2024-09-26 06:40:36,2.0832,2.0915,2.0474,2.0818,595562.1,2.0818,2.0818
2024-09-26 07:40:36,2.0821,2.0898,2.0578,2.064,610644.7,2.064,2.064
2024-09-26 08:40:36,2.0623,2.0654,2.0439,2.0507,317025.9,2.0507,2.0507
2024-09-26 09:40:36,2.0501,2.0897,2.0483,2.0596,326971.4,2.0596,2.0596
2024-09-26 10:40:36,2.0567,2.122,2.0545,2.1131,204586.2,2.1131,2.1131
2024-09-26 11:40:36,2.1131,2.1429,2.1015,2.1136,432294.0,2.1136,2.1136
2024-09-26 12:40:36,2.1167,2.1251,2.0717,2.0946,404013.0,2.0946,2.0946
2024-09-26 13:40:36,2.0923,2.1081,2.0845,2.0916,151192.1,2.0916,2.0916
2024-09-26 14:40:36,2.0974,2.1138,2.0821,2.1004,280760.3,2.1004,2.1004
2024-09-26 15:40:36,2.0987,2.1549,2.094,2.1541,321947.1,2.1541,2.1541
2024-09-26 16:40:36,2.1547,2.1785,2.1291,2.1555,512894.9,2.1555,2.1555
2024-09-26 17:40:36,2.1542,2.1813,2.1207,2.1408,604765.7,2.1408,2.1408
2024-09-26 18:40:36,2.1383,2.1459,2.1052,2.1119,640898.9,2.1119,2.1119
2024-09-26 19:40:36,2.1126,2.169,2.0679,2.0701,1154137.3,2.0701,2.0701
2024-09-26 20:40:36,2.0699,2.1103,2.0639,2.0964,925961.3,2.0964,2.0964
2024-09-26 21:40:36,2.0951,2.1589,2.0933,2.1493,315624.3,2.1493,2.1493
2024-09-26 22:40:36,2.149,2.1655,2.0937,2.0937,461075.5,2.0937,2.0937
2024-09-26 23:40:36,2.0953,2.1066,2.0533,2.0714,354574.1,2.0714,2.0714
2024-09-27 00:40:36,2.0673,2.0826,2.0546,2.056,210232.3,2.056,2.056
2024-09-27 01:40:36,2.0578,2.0642,2.012,2.0159,305132.4,2.0159,2.0159
2024-09-27 02:40:36,2.0125,2.0414,2.0125,2.0399,199410.9,2.0399,2.0399
2024-09-27 03:40:36,2.0372,2.0523,2.0318,2.0421,333319.6,2.0421,2.0421
2024-09-27 04:40:36,2.0418,2.0458,2.0154,2.0352,345580.4,2.0352,2.0352
2024-09-27 05:40:36,2.0351,2.0628,2.0251,2.0272,515376.2,2.0272,2.0272
2024-09-27 06:40:36,2.0274,2.0506,1.9993,2.0288,544525.0,2.0288,2.0288
2024-09-27 07:40:36,2.0287,2.0316,2.0015,2.0091,417771.8,2.0091,2.0091
2024-09-27 08:40:36,2.0095,2.06,2.003,2.0587,273424.3,2.0587,2.0587
