Date,Open,High,Low,Close,Volume,Trades,Price,Adj Close
2023-11-07 22:08:26,1.747,1.8088,1.7419,1.7977,103800.6,340,1.7977,1.7977
2023-11-08 02:08:26,1.7968,1.8494,1.7939,1.8437,37017.9,322,1.8437,1.8437
2023-11-08 06:08:26,1.8401,1.8599,1.8048,1.8126,68022.7,346,1.8126,1.8126
2023-11-08 10:08:26,1.8137,1.8283,1.8016,1.8118,59211.3,330,1.8118,1.8118
2023-11-08 14:08:26,1.8124,1.8146,1.7918,1.8037,36450.0,338,1.8037,1.8037
2023-11-08 18:08:26,1.804,1.8272,1.8003,1.8112,45842.4,340,1.8112,1.8112
2023-11-08 22:08:26,1.8119,1.839,1.8078,1.8296,46094.6,329,1.8296,1.8296
2023-11-09 02:08:26,1.8326,1.8458,1.822,1.8336,30393.3,306,1.8336,1.8336
2023-11-09 06:08:26,1.8348,1.8671,1.8185,1.8562,56676.6,326,1.8562,1.8562
2023-11-09 10:08:26,1.8561,1.88,1.8482,1.8537,93696.2,348,1.8537,1.8537
2023-11-09 14:08:26,1.8524,1.8718,1.8449,1.8617,23221.9,321,1.8617,1.8617
2023-11-09 18:08:26,1.8635,1.9137,1.8548,1.8728,99655.7,324,1.8728,1.8728
2023-11-09 22:08:26,1.8705,1.8798,1.6003,1.7151,385596.4,529,1.7151,1.7151
2023-11-10 02:08:26,1.7123,1.7636,1.6664,1.7606,71060.4,312,1.7606,1.7606
2023-11-10 06:08:26,1.7611,1.7757,1.7431,1.7493,45456.0,347,1.7493,1.7493
2023-11-10 10:08:26,1.7492,1.7708,1.7243,1.7363,53778.0,321,1.7363,1.7363
2023-11-10 14:08:26,1.7364,1.7571,1.7055,1.7536,22466.4,326,1.7536,1.7536
2023-11-10 18:08:26,1.7562,1.7564,1.6863,1.715,71419.9,300,1.715,1.715
2023-11-10 22:08:26,1.7136,1.7581,1.7118,1.7527,91009.1,345,1.7527,1.7527
2023-11-11 02:08:26,1.7535,1.9979,1.7505,1.9647,100437.9,374,1.9647,1.9647
2023-11-11 06:08:26,1.9614,1.9924,1.9021,1.9924,75476.2,326,1.9924,1.9924
2023-11-11 10:08:26,1.9924,2.0889,1.9762,2.05,132269.1,395,2.05,2.05
2023-11-11 14:08:26,2.0568,2.0894,2.0114,2.0357,61500.3,345,2.0357,2.0357
2023-11-11 18:08:26,2.0338,2.0436,1.9369,1.9369,37202.0,327,1.9369,1.9369
2023-11-11 22:08:26,1.9376,1.9719,1.9284,1.9651,38940.4,295,1.9651,1.9651
2023-11-12 02:08:26,1.9576,1.9621,1.9187,1.9421,21910.6,323,1.9421,1.9421
2023-11-12 06:08:26,1.9413,1.947,1.8537,1.9122,91751.6,365,1.9122,1.9122
2023-11-12 10:08:26,1.9086,1.9315,1.8953,1.9099,17125.0,324,1.9099,1.9099
2023-11-12 14:08:26,1.9093,1.9544,1.8962,1.9431,61610.9,339,1.9431,1.9431
2023-11-12 18:08:26,1.9426,1.9739,1.9037,1.9613,77448.4,350,1.9613,1.9613
2023-11-12 22:08:26,1.96,1.9727,1.9314,1.9559,105769.8,346,1.9559,1.9559
2023-11-13 02:08:26,1.9528,1.9846,1.9282,1.9514,30362.9,315,1.9514,1.9514
2023-11-13 06:08:26,1.9474,1.9945,1.8833,1.8853,94258.5,376,1.8853,1.8853
2023-11-13 10:08:26,1.8948,1.9492,1.8948,1.941,26557.8,310,1.941,1.941
2023-11-13 14:08:26,1.9496,2.1379,1.9226,2.096,51191.3,367,2.096,2.096
2023-11-13 18:08:26,2.1019,2.5799,2.0825,2.4823,159705.9,405,2.4823,2.4823
2023-11-13 22:08:26,2.4973,2.585,2.3814,2.4798,111271.2,378,2.4798,2.4798
2023-11-14 02:08:26,2.4809,2.51,2.2668,2.3135,107525.6,448,2.3135,2.3135
2023-11-14 06:08:26,2.3061,2.3061,2.1342,2.1955,125082.6,345,2.1955,2.1955
2023-11-14 10:08:26,2.1967,2.2817,2.1807,2.254,61918.6,301,2.254,2.254
2023-11-14 14:08:26,2.2545,2.2808,2.1172,2.1488,85648.4,317,2.1488,2.1488
2023-11-14 18:08:26,2.1501,2.228,2.1358,2.1997,90189.9,340,2.1997,2.1997
2023-11-14 22:08:26,2.1999,2.2974,2.1599,2.2278,133498.6,389,2.2278,2.2278
2023-11-15 02:08:26,2.2263,2.3384,2.2263,2.3027,30507.3,329,2.3027,2.3027
2023-11-15 06:08:26,2.3177,2.4461,2.2814,2.3164,115368.5,435,2.3164,2.3164
2023-11-15 10:08:26,2.3175,2.4538,2.3175,2.436,117187.3,414,2.436,2.436
2023-11-15 14:08:26,2.4365,2.4459,2.3239,2.3524,128052.8,375,2.3524,2.3524
2023-11-15 18:08:26,2.3738,2.4399,2.3191,2.3744,87678.6,362,2.3744,2.3744
2023-11-15 22:08:26,2.3764,2.4335,2.2978,2.4122,92243.4,412,2.4122,2.4122
2023-11-16 02:08:26,2.413,2.4216,2.3281,2.3625,76883.2,386,2.3625,2.3625
2023-11-16 06:08:26,2.3612,2.4931,2.3436,2.3787,98924.3,456,2.3787,2.3787
2023-11-16 10:08:26,2.3792,2.4238,2.333,2.4026,28670.1,345,2.4026,2.4026
2023-11-16 14:08:26,2.4096,2.5288,2.3833,2.4091,75301.1,356,2.4091,2.4091
2023-11-16 18:08:26,2.4039,2.4237,2.1755,2.2058,155864.0,514,2.2058,2.2058
2023-11-16 22:08:26,2.2052,2.2485,2.1563,2.2366,62175.1,376,2.2366,2.2366
2023-11-17 02:08:26,2.2354,2.2398,2.1498,2.1844,224248.1,415,2.1844,2.1844
2023-11-17 06:08:26,2.1824,2.2574,2.1534,2.1674,109885.5,341,2.1674,2.1674
2023-11-17 10:08:26,2.1653,2.174,2.0548,2.0662,194502.1,397,2.0662,2.0662
2023-11-17 14:08:26,2.0672,2.0757,1.9654,2.0038,176644.7,372,2.0038,2.0038
2023-11-17 18:08:26,2.0024,2.0727,1.9627,2.0265,224797.7,424,2.0265,2.0265
2023-11-17 22:08:26,2.0242,2.0799,2.0242,2.0276,119589.3,369,2.0276,2.0276
2023-11-18 02:08:26,2.0278,2.0558,1.8687,1.9903,539231.2,988,1.9903,1.9903
2023-11-18 06:08:26,1.9926,1.9926,1.888,1.8913,82982.6,436,1.8913,1.8913
2023-11-18 10:08:26,1.8918,1.9233,1.8182,1.8741,152022.7,462,1.8741,1.8741
2023-11-18 14:08:26,1.8722,1.977,1.8547,1.9594,71494.8,353,1.9594,1.9594
2023-11-18 18:08:26,1.9662,2.0344,1.9421,1.9861,117523.9,379,1.9861,1.9861
2023-11-18 22:08:26,1.9871,2.0163,1.9542,2.0116,206386.3,396,2.0116,2.0116
