Date,Open,High,Low,Close,Volume,Trades,Price,Adj Close
2025-07-24 19:08:26,3.1356,3.2494,3.1187,3.2435,15527966.0,12013,3.2435,3.2435
2025-07-24 20:08:26,3.2428,3.2673,3.2108,3.2258,18800123.0,14884,3.2258,3.2258
2025-07-24 21:08:26,3.2265,3.2327,3.1684,3.1959,14718976.0,10981,3.1959,3.1959
2025-07-24 22:08:26,3.1959,3.2438,3.1924,3.228,4764963.0,3915,3.228,3.228
2025-07-24 23:08:26,3.2279,3.2525,3.2161,3.2389,7027663.0,4726,3.2389,3.2389
2025-07-25 00:08:26,3.2388,3.261,3.2093,3.2099,2185187.0,3044,3.2099,3.2099
2025-07-25 01:08:26,3.2099,3.2426,3.2083,3.2307,4382224.0,2681,3.2307,3.2307
2025-07-25 02:08:26,3.2299,3.2305,3.1822,3.1834,6982483.0,3772,3.1834,3.1834
2025-07-25 03:08:26,3.1835,3.1964,3.1711,3.1788,5635136.0,2855,3.1788,3.1788
2025-07-25 04:08:26,3.1778,3.1778,3.1237,3.1457,8451163.0,8140,3.1457,3.1457
2025-07-25 05:08:26,3.1458,3.1564,3.0898,3.107,16084711.0,12765,3.107,3.107
2025-07-25 06:08:26,3.1065,3.1617,3.0994,3.1486,7401458.0,6774,3.1486,3.1486
2025-07-25 07:08:26,3.1491,3.1548,3.0648,3.0748,20048775.0,13679,3.0748,3.0748
2025-07-25 08:08:26,3.0749,3.1072,3.043,3.0695,12848467.0,14528,3.0695,3.0695
2025-07-25 09:08:26,3.0692,3.1183,3.0467,3.1145,9408912.0,9335,3.1145,3.1145
2025-07-25 10:08:26,3.1147,3.119,3.0708,3.0756,8270045.0,6602,3.0756,3.0756
2025-07-25 11:08:26,3.0763,3.0903,3.0461,3.0741,7073529.0,6123,3.0741,3.0741
2025-07-25 12:08:26,3.0736,3.105,3.0332,3.0747,7527475.0,9212,3.0747,3.0747
2025-07-25 13:08:26,3.0747,3.1093,3.0636,3.0812,8146011.0,7346,3.0812,3.0812
2025-07-25 14:08:26,3.0807,3.1421,3.066,3.1352,5068104.0,5932,3.1352,3.1352
2025-07-25 15:08:26,3.1352,3.1452,3.1108,3.1285,2913809.0,4951,3.1285,3.1285
2025-07-25 16:08:26,3.1296,3.1538,3.1277,3.1358,2280118.0,2835,3.1358,3.1358
2025-07-25 17:08:26,3.1355,3.1525,3.0975,3.1236,4027267.0,3940,3.1236,3.1236
2025-07-25 18:08:26,3.1236,3.1394,3.0948,3.1203,3276797.0,4294,3.1203,3.1203
2025-07-25 19:08:26,3.1208,3.1225,3.0,3.0057,18249419.0,15352,3.0057,3.0057
2025-07-25 20:08:26,3.0057,3.0466,3.0003,3.0386,6465261.0,8349,3.0386,3.0386
2025-07-25 21:08:26,3.038,3.0637,3.0255,3.0593,3908156.0,4104,3.0593,3.0593
2025-07-25 22:08:26,3.0582,3.0717,3.0494,3.061,1789302.0,2678,3.061,3.061
2025-07-25 23:08:26,3.0605,3.0774,3.056,3.0713,2051157.0,2147,3.0713,3.0713
2025-07-26 00:08:26,3.0713,3.0982,3.0665,3.0707,3238032.0,2915,3.0707,3.0707
2025-07-26 01:08:26,3.0713,3.1339,3.0713,3.1218,3599667.0,3430,3.1218,3.1218
2025-07-26 02:08:26,3.1219,3.1497,3.1219,3.1414,5262105.0,3795,3.1414,3.1414
2025-07-26 03:08:26,3.1413,3.1527,3.1357,3.1462,3306386.0,2990,3.1462,3.1462
2025-07-26 04:08:26,3.1459,3.1468,3.1339,3.1443,2608874.0,2109,3.1443,3.1443
2025-07-26 05:08:26,3.1442,3.1466,3.1258,3.1366,4925084.0,2873,3.1366,3.1366
2025-07-26 06:08:26,3.137,3.1408,3.11,3.1127,3864624.0,2085,3.1127,3.1127
2025-07-26 07:08:26,3.1134,3.1652,3.1134,3.1534,5945382.0,3256,3.1534,3.1534
2025-07-26 08:08:26,3.1544,3.1546,3.1365,3.1451,2431649.0,2095,3.1451,3.1451
2025-07-26 09:08:26,3.1451,3.1596,3.1418,3.1507,723097.0,1016,3.1507,3.1507
2025-07-26 10:08:26,3.1505,3.1779,3.1433,3.1743,2720008.0,2182,3.1743,3.1743
2025-07-26 11:08:26,3.1737,3.1751,3.1552,3.1597,2026107.0,1673,3.1597,3.1597
2025-07-26 12:08:26,3.159,3.168,3.1543,3.1567,558494.0,671,3.1567,3.1567
2025-07-26 13:08:26,3.157,3.1824,3.1562,3.177,1098243.0,1526,3.177,3.177
2025-07-26 14:08:26,3.1777,3.2003,3.1739,3.1962,8238547.0,3146,3.1962,3.1962
2025-07-26 15:08:26,3.1962,3.2144,3.1954,3.2021,4871623.0,2990,3.2021,3.2021
2025-07-26 16:08:26,3.203,3.2047,3.1806,3.188,2840627.0,2561,3.188,3.188
2025-07-26 17:08:26,3.1888,3.2012,3.1803,3.193,1034486.0,901,3.193,3.193
2025-07-26 18:08:26,3.193,3.2009,3.1807,3.1899,1403183.0,1150,3.1899,3.1899
2025-07-26 19:08:26,3.1901,3.1997,3.1811,3.1835,1055672.0,1516,3.1835,3.1835
2025-07-26 20:08:26,3.1831,3.1956,3.1785,3.1956,1884595.0,1451,3.1956,3.1956
2025-07-26 21:08:26,3.1952,3.2214,3.1875,3.1947,2702573.0,2921,3.1947,3.1947
2025-07-26 22:08:26,3.1948,3.1973,3.1659,3.175,2624452.0,1793,3.175,3.175
2025-07-26 23:08:26,3.175,3.1853,3.1607,3.1777,2640003.0,1896,3.1777,3.1777
2025-07-27 00:08:26,3.1776,3.1992,3.1754,3.1939,1845353.0,1099,3.1939,3.1939
2025-07-27 01:08:26,3.1941,3.1946,3.1709,3.1868,6661519.0,2647,3.1868,3.1868
2025-07-27 02:08:26,3.1868,3.1981,3.1749,3.1949,2185429.0,2406,3.1949,3.1949
2025-07-27 03:08:26,3.1952,3.2128,3.183,3.185,2516103.0,2664,3.185,3.185
2025-07-27 04:08:26,3.1851,3.1852,3.1662,3.1685,2946043.0,2770,3.1685,3.1685
2025-07-27 05:08:26,3.1686,3.1844,3.1582,3.1844,5347894.0,3085,3.1844,3.1844
2025-07-27 06:08:26,3.1843,3.2056,3.1776,3.1897,6128929.0,3544,3.1897,3.1897
2025-07-27 07:08:26,3.1896,3.2091,3.1792,3.2005,5501768.0,2860,3.2005,3.2005
2025-07-27 08:08:26,3.2005,3.2074,3.1849,3.2019,1207636.0,1416,3.2019,3.2019
2025-07-27 09:08:26,3.202,3.2236,3.1912,3.2117,10674669.0,3993,3.2117,3.2117
2025-07-27 10:08:26,3.2121,3.2417,3.2084,3.2255,3424776.0,2751,3.2255,3.2255
2025-07-27 11:08:26,3.2254,3.2254,3.2011,3.2039,1227966.0,1403,3.2039,3.2039
2025-07-27 12:08:26,3.2036,3.2078,3.1883,3.1919,1728795.0,1289,3.1919,3.1919
2025-07-27 13:08:26,3.1918,3.1949,3.1752,3.1881,3351644.0,1914,3.1881,3.1881
2025-07-27 14:08:26,3.1878,3.1924,3.1709,3.174,2293391.0,2330,3.174,3.174
2025-07-27 15:08:26,3.1738,3.2134,3.1736,3.2018,1633669.0,2385,3.2018,3.2018
2025-07-27 16:08:26,3.2023,3.2163,3.1792,3.1807,4466014.0,2748,3.1807,3.1807
2025-07-27 17:08:26,3.1818,3.2006,3.16,3.1975,5985020.0,3410,3.1975,3.1975
2025-07-27 18:08:26,3.1967,3.2103,3.1861,3.189,2781311.0,2171,3.189,3.189
2025-07-27 19:08:26,3.1873,3.2049,3.1741,3.1833,1131326.0,1313,3.1833,3.1833
2025-07-27 20:08:26,3.1825,3.1907,3.1705,3.1898,1065446.0,1442,3.1898,3.1898
2025-07-27 21:08:26,3.1892,3.2319,3.1858,3.1986,7739214.0,5887,3.1986,3.1986
2025-07-27 22:08:26,3.1986,3.2114,3.1789,3.2084,4013404.0,3182,3.2084,3.2084
2025-07-27 23:08:26,3.2068,3.2178,3.1996,3.2168,3454815.0,2447,3.2168,3.2168
2025-07-28 00:08:26,3.2154,3.221,3.1997,3.2117,10024474.0,3754,3.2117,3.2117
2025-07-28 01:08:26,3.2106,3.2344,3.197,3.2042,10157074.0,4833,3.2042,3.2042
2025-07-28 02:08:26,3.2054,3.2217,3.1915,3.219,1941054.0,1856,3.219,3.219
2025-07-28 03:08:26,3.2195,3.2544,3.2163,3.2382,16025602.0,7276,3.2382,3.2382
2025-07-28 04:08:26,3.238,3.247,3.2091,3.242,4377747.0,3112,3.242,3.242
2025-07-28 05:08:26,3.2427,3.29,3.2266,3.2651,11024825.0,7427,3.2651,3.2651
2025-07-28 06:08:26,3.2672,3.2734,3.2251,3.2471,5315608.0,3736,3.2471,3.2471
2025-07-28 07:08:26,3.2476,3.2973,3.2411,3.2724,3780653.0,3537,3.2724,3.2724
2025-07-28 08:08:26,3.2727,3.2829,3.2533,3.2734,3328113.0,2206,3.2734,3.2734
2025-07-28 09:08:26,3.273,3.2788,3.2538,3.2758,4556365.0,2066,3.2758,3.2758
2025-07-28 10:08:26,3.2752,3.334,3.2685,3.3223,11950670.0,6259,3.3223,3.3223
2025-07-28 11:08:26,3.3225,3.328,3.2879,3.2924,5067737.0,3299,3.2924,3.2924
2025-07-28 12:08:26,3.2935,3.2971,3.2623,3.278,2468776.0,2798,3.278,3.278
2025-07-28 13:08:26,3.2765,3.28,3.2528,3.2665,1577429.0,1989,3.2665,3.2665
2025-07-28 14:08:26,3.2671,3.2674,3.2425,3.2565,1993479.0,2351,3.2565,3.2565
2025-07-28 15:08:26,3.2566,3.2605,3.2351,3.2413,1712225.0,2299,3.2413,3.2413
2025-07-28 16:08:26,3.2421,3.2526,3.2269,3.2477,1780896.0,2381,3.2477,3.2477
2025-07-28 17:08:26,3.2478,3.252,3.228,3.233,1906126.0,3045,3.233,3.233
2025-07-28 18:08:26,3.233,3.2336,3.1746,3.1927,21388982.0,13219,3.1927,3.1927
2025-07-28 19:08:26,3.1926,3.2028,3.143,3.1569,10640953.0,8971,3.1569,3.1569
2025-07-28 20:08:26,3.1571,3.1819,3.1444,3.1607,6097479.0,3839,3.1607,3.1607
2025-07-28 21:08:26,3.1609,3.1872,3.1469,3.1715,9029171.0,4293,3.1715,3.1715
2025-07-28 22:08:26,3.1714,3.1833,3.1555,3.1583,3451560.0,2722,3.1583,3.1583
2025-07-28 23:08:26,3.1587,3.1616,3.1047,3.1428,26144258.0,11463,3.1428,3.1428
2025-07-29 00:08:26,3.1427,3.163,3.1297,3.1609,5313131.0,3832,3.1609,3.1609
2025-07-29 01:08:26,3.1612,3.1642,3.1099,3.142,10634869.0,5112,3.142,3.142
2025-07-29 02:08:26,3.1418,3.1624,3.1305,3.1441,3141264.0,2547,3.1441,3.1441
2025-07-29 03:08:26,3.1441,3.1571,3.1067,3.1326,9738335.0,4788,3.1326,3.1326
2025-07-29 04:08:26,3.1328,3.1459,3.1055,3.1223,6533829.0,3107,3.1223,3.1223
2025-07-29 05:08:26,3.1222,3.1474,3.0788,3.1258,10468433.0,7434,3.1258,3.1258
2025-07-29 06:08:26,3.127,3.1417,3.1139,3.1155,2136657.0,1750,3.1155,3.1155
2025-07-29 07:08:26,3.1155,3.1345,3.095,3.1107,3671568.0,3103,3.1107,3.1107
2025-07-29 08:08:26,3.1093,3.1435,3.1093,3.1414,3722676.0,2234,3.1414,3.1414
2025-07-29 09:08:26,3.1406,3.1474,3.1216,3.1251,2951622.0,2445,3.1251,3.1251
2025-07-29 10:08:26,3.125,3.1487,3.1232,3.1466,1930427.0,1555,3.1466,3.1466
2025-07-29 11:08:26,3.1474,3.163,3.138,3.1539,4597128.0,3280,3.1539,3.1539
2025-07-29 12:08:26,3.1546,3.183,3.1499,3.1749,4216859.0,3508,3.1749,3.1749
2025-07-29 13:08:26,3.1751,3.1848,3.166,3.174,3753672.0,2955,3.174,3.174
2025-07-29 14:08:26,3.175,3.175,3.1498,3.1602,5565430.0,3427,3.1602,3.1602
2025-07-29 15:08:26,3.1612,3.1626,3.1126,3.1168,2209612.0,2828,3.1168,3.1168
2025-07-29 16:08:26,3.1182,3.1406,3.1136,3.1371,1048054.0,1753,3.1371,3.1371
2025-07-29 17:08:26,3.138,3.1686,3.1347,3.1621,3239528.0,2841,3.1621,3.1621
2025-07-29 18:08:26,3.162,3.1733,3.1324,3.1389,2001396.0,2931,3.1389,3.1389
2025-07-29 19:08:26,3.1391,3.1407,3.0861,3.1033,9668297.0,9132,3.1033,3.1033
2025-07-29 20:08:26,3.1023,3.1166,3.0745,3.0977,12093677.0,10527,3.0977,3.0977
2025-07-29 21:08:26,3.0975,3.1059,3.0514,3.105,8509548.0,7645,3.105,3.105
2025-07-29 22:08:26,3.1049,3.1513,3.1041,3.1464,6353229.0,4642,3.1464,3.1464
2025-07-29 23:08:26,3.146,3.1613,3.1328,3.1392,4135299.0,3215,3.1392,3.1392
2025-07-30 00:08:26,3.1391,3.1478,3.1134,3.1183,2511214.0,2468,3.1183,3.1183
2025-07-30 01:08:26,3.1183,3.1294,3.0928,3.1153,5021277.0,4443,3.1153,3.1153
2025-07-30 02:08:26,3.1156,3.133,3.096,3.123,1067336.0,1848,3.123,3.123
2025-07-30 03:08:26,3.1234,3.1268,3.1049,3.1237,847957.0,1857,3.1237,3.1237
2025-07-30 04:08:26,3.1236,3.137,3.1203,3.1278,8890509.0,4285,3.1278,3.1278
2025-07-30 05:08:26,3.1282,3.1319,3.1029,3.121,1033537.0,2137,3.121,3.121
2025-07-30 06:08:26,3.1215,3.1442,3.0926,3.1314,1892143.0,2084,3.1314,3.1314
2025-07-30 07:08:26,3.1325,3.1463,3.1217,3.1398,2618908.0,2350,3.1398,3.1398
2025-07-30 08:08:26,3.1399,3.1498,3.1297,3.138,1224563.0,1914,3.138,3.138
2025-07-30 09:08:26,3.138,3.1466,3.1126,3.1193,864694.0,1876,3.1193,3.1193
2025-07-30 10:08:26,3.119,3.1338,3.1036,3.1335,707762.0,1946,3.1335,3.1335
2025-07-30 11:08:26,3.1335,3.1431,3.1295,3.1387,516364.0,1385,3.1387,3.1387
2025-07-30 12:08:26,3.1396,3.1451,3.11,3.1201,1166233.0,1961,3.1201,3.1201
2025-07-30 13:08:26,3.1198,3.1402,3.1091,3.1256,2447767.0,2654,3.1256,3.1256
2025-07-30 14:08:26,3.1256,3.1287,3.0901,3.0983,1731716.0,2678,3.0983,3.0983
2025-07-30 15:08:26,3.098,3.1191,3.0829,3.0889,2090550.0,1947,3.0889,3.0889
2025-07-30 16:08:26,3.0893,3.1014,3.0414,3.0481,7536990.0,5996,3.0481,3.0481
2025-07-30 17:08:26,3.0508,3.082,3.0384,3.0771,4325876.0,4848,3.0771,3.0771
2025-07-30 18:08:26,3.0768,3.0985,3.0695,3.0861,3702444.0,4942,3.0861,3.0861
2025-07-30 19:08:26,3.0863,3.1488,3.0769,3.1477,3687139.0,4493,3.1477,3.1477
2025-07-30 20:08:26,3.1481,3.153,3.1239,3.1412,4747708.0,5046,3.1412,3.1412
2025-07-30 21:08:26,3.1431,3.1626,3.1284,3.1353,3953423.0,3931,3.1353,3.1353
2025-07-30 22:08:26,3.1369,3.1496,3.1217,3.1302,1003604.0,1738,3.1302,3.1302
2025-07-30 23:08:26,3.1306,3.1468,3.0507,3.0522,12949768.0,12358,3.0522,3.0522
2025-07-31 00:08:26,3.0522,3.1166,2.9819,3.0974,20505526.0,14408,3.0974,3.0974
2025-07-31 01:08:26,3.0972,3.1158,3.0882,3.0904,6828124.0,5089,3.0904,3.0904
2025-07-31 02:08:26,3.0906,3.0982,3.0611,3.078,3952512.0,2670,3.078,3.078
2025-07-31 03:08:26,3.0771,3.0881,3.0646,3.0822,1602779.0,1267,3.0822,3.0822
2025-07-31 04:08:26,3.081,3.1027,3.0805,3.096,1469194.0,1272,3.096,3.096
2025-07-31 05:08:26,3.0952,3.1271,3.086,3.1261,2280088.0,2206,3.1261,3.1261
2025-07-31 06:08:26,3.127,3.1355,3.115,3.1268,1637423.0,1595,3.1268,3.1268
2025-07-31 07:08:26,3.1272,3.1364,3.1204,3.1356,848109.0,1080,3.1356,3.1356
2025-07-31 08:08:26,3.1351,3.145,3.1312,3.1382,1676878.0,1673,3.1382,3.1382
2025-07-31 09:08:26,3.1392,3.1433,3.1302,3.1393,2888530.0,1561,3.1393,3.1393
2025-07-31 10:08:26,3.1396,3.1492,3.136,3.1415,1117664.0,1079,3.1415,3.1415
2025-07-31 11:08:26,3.1414,3.1475,3.1329,3.1464,2050309.0,1413,3.1464,3.1464
2025-07-31 12:08:26,3.147,3.1545,3.1407,3.1542,939164.0,982,3.1542,3.1542
2025-07-31 13:08:26,3.1545,3.1708,3.1535,3.1594,1605824.0,1796,3.1594,3.1594
2025-07-31 14:08:26,3.1595,3.1761,3.1553,3.1688,2343080.0,1952,3.1688,3.1688
2025-07-31 15:08:26,3.1688,3.1766,3.161,3.1715,1186682.0,1390,3.1715,3.1715
2025-07-31 16:08:26,3.1707,3.1749,3.1473,3.1507,934103.0,1537,3.1507,3.1507
2025-07-31 17:08:26,3.1508,3.1516,3.1203,3.1341,2619455.0,2398,3.1341,3.1341
2025-07-31 18:08:26,3.134,3.134,3.0854,3.1132,7573940.0,6753,3.1132,3.1132
2025-07-31 19:08:26,3.1122,3.1237,3.08,3.08,7478572.0,5430,3.08,3.08
2025-07-31 20:08:26,3.08,3.1013,3.0751,3.0999,2666695.0,2576,3.0999,3.0999
2025-07-31 21:08:26,3.0995,3.1351,3.0951,3.1199,2325400.0,2460,3.1199,3.1199
2025-07-31 22:08:26,3.1209,3.121,3.0789,3.0833,2417919.0,2338,3.0833,3.0833
2025-07-31 23:08:26,3.0841,3.0984,3.0674,3.0833,3293067.0,3181,3.0833,3.0833
2025-08-01 00:08:26,3.0842,3.0882,3.0502,3.0559,5688205.0,3673,3.0559,3.0559
2025-08-01 01:08:26,3.0564,3.0652,3.0418,3.0491,5724959.0,5034,3.0491,3.0491
2025-08-01 02:08:26,3.0495,3.0656,3.0273,3.0469,5712527.0,4329,3.0469,3.0469
2025-08-01 03:08:26,3.0473,3.0473,3.0145,3.0251,6566368.0,5989,3.0251,3.0251
2025-08-01 04:08:26,3.0251,3.0412,3.0094,3.0201,5385253.0,5287,3.0201,3.0201
2025-08-01 05:08:26,3.02,3.0236,2.9266,2.9843,26480309.0,21432,2.9843,2.9843
2025-08-01 06:08:26,2.9847,2.997,2.9368,2.9856,16935419.0,15858,2.9856,2.9856
2025-08-01 07:08:26,2.985,3.0219,2.9762,3.0177,5006344.0,4412,3.0177,3.0177
2025-08-01 08:08:26,3.0175,3.0232,2.9927,2.9972,2413115.0,1812,2.9972,2.9972
2025-08-01 09:08:26,2.9967,2.9967,2.9725,2.9854,2625416.0,2471,2.9854,2.9854
2025-08-01 10:08:26,2.9847,2.9951,2.9501,2.9573,3952473.0,2904,2.9573,2.9573
2025-08-01 11:08:26,2.957,2.9654,2.9337,2.9609,5163017.0,3535,2.9609,2.9609
2025-08-01 12:08:26,2.9609,2.9702,2.9376,2.9553,2599168.0,3520,2.9553,2.9553
2025-08-01 13:08:26,2.9542,2.9542,2.8919,2.9146,14724746.0,11866,2.9146,2.9146
2025-08-01 14:08:26,2.914,2.9392,2.9116,2.9201,3712755.0,2866,2.9201,2.9201
2025-08-01 15:08:26,2.9207,2.9565,2.9177,2.95,2626864.0,2037,2.95,2.95
2025-08-01 16:08:26,2.951,2.9705,2.9388,2.969,1699428.0,1556,2.969,2.969
2025-08-01 17:08:26,2.9687,3.0047,2.9653,2.9927,4883041.0,5912,2.9927,2.9927
2025-08-01 18:08:26,2.9919,3.0163,2.9289,2.9576,8478759.0,11065,2.9576,2.9576
2025-08-01 19:08:26,2.9558,3.057,2.9359,3.0515,11612717.0,12247,3.0515,3.0515
2025-08-01 20:08:26,3.0519,3.0579,3.0085,3.0426,4894269.0,6488,3.0426,3.0426
2025-08-01 21:08:26,3.0423,3.0516,3.002,3.0114,3144717.0,4009,3.0114,3.0114
2025-08-01 22:08:26,3.0113,3.031,2.985,3.0007,6603298.0,6259,3.0007,3.0007
2025-08-01 23:08:26,3.0005,3.0295,2.972,3.0086,7770031.0,8350,3.0086,3.0086
2025-08-02 00:08:26,3.0089,3.0303,2.9963,3.0129,7217842.0,7075,3.0129,3.0129
2025-08-02 01:08:26,3.0129,3.0198,2.9547,3.0053,6034626.0,7078,3.0053,3.0053
