Date,Price,Adj Close,Close,High,Low,Open,Volume
2025-05-18 18:00:55,2.3918,2.3918,2.3918,2.3926,2.387,2.3915,612540.0
2025-05-18 18:30:55,2.4096,2.4096,2.4096,2.4117,2.391,2.3918,1252875.0
2025-05-18 19:00:55,2.4106,2.4106,2.4106,2.4133,2.4047,2.4096,699051.0
2025-05-18 19:30:55,2.4299,2.4299,2.4299,2.4407,2.4108,2.4108,2167916.0
2025-05-18 20:00:55,2.4311,2.4311,2.4311,2.4373,2.4184,2.4299,782398.0
2025-05-18 20:30:55,2.4391,2.4391,2.4391,2.4463,2.4271,2.4308,850611.0
2025-05-18 21:00:55,2.4424,2.4424,2.4424,2.4508,2.43,2.4397,1870090.0
2025-05-18 21:30:55,2.4394,2.4394,2.4394,2.4454,2.4337,2.4419,1819647.0
2025-05-18 22:00:55,2.4216,2.4216,2.4216,2.4393,2.4159,2.4393,1170689.0
2025-05-18 22:30:55,2.398,2.398,2.398,2.4232,2.3966,2.4209,1368943.0
2025-05-18 23:00:55,2.3933,2.3933,2.3933,2.4008,2.367,2.3985,3377857.0
2025-05-18 23:30:55,2.4012,2.4012,2.4012,2.4012,2.3829,2.3938,1204427.0
2025-05-19 00:00:55,2.406,2.406,2.406,2.41,2.3971,2.3997,1112925.0
2025-05-19 00:30:55,2.372,2.372,2.372,2.4057,2.3692,2.405,2727280.0
2025-05-19 01:00:55,2.3608,2.3608,2.3608,2.3721,2.3315,2.372,6503059.0
2025-05-19 01:30:55,2.3718,2.3718,2.3718,2.3789,2.3542,2.3586,1786557.0
2025-05-19 02:00:55,2.3908,2.3908,2.3908,2.391,2.3727,2.3728,1149984.0
2025-05-19 02:30:55,2.3753,2.3753,2.3753,2.3962,2.3715,2.3906,485420.0
2025-05-19 03:00:55,2.384,2.384,2.384,2.387,2.3481,2.3758,3675467.0
2025-05-19 03:30:55,2.4073,2.4073,2.4073,2.4093,2.3845,2.3845,1337460.0
2025-05-19 04:00:55,2.4112,2.4112,2.4112,2.4122,2.3983,2.4074,781947.0
2025-05-19 04:30:55,2.4313,2.4313,2.4313,2.4399,2.4071,2.4111,1284828.0
2025-05-19 05:00:55,2.4146,2.4146,2.4146,2.4435,2.4099,2.4313,4128091.0
2025-05-19 05:30:55,2.4011,2.4011,2.4011,2.4133,2.3883,2.4118,3089856.0
2025-05-19 06:00:55,2.39,2.39,2.39,2.4062,2.3789,2.3996,2040046.0
2025-05-19 06:30:55,2.391,2.391,2.391,2.3997,2.3855,2.391,2433313.0
2025-05-19 07:00:55,2.386,2.386,2.386,2.3969,2.375,2.391,452228.0
2025-05-19 07:30:55,2.3763,2.3763,2.3763,2.3888,2.3734,2.385,185026.0
2025-05-19 08:00:55,2.3652,2.3652,2.3652,2.3767,2.3618,2.3757,593106.0
2025-05-19 08:30:55,2.35,2.35,2.35,2.3677,2.35,2.3658,859979.0
2025-05-19 09:00:55,2.3507,2.3507,2.3507,2.364,2.3409,2.3501,2783362.0
2025-05-19 09:30:55,2.3341,2.3341,2.3341,2.3554,2.3243,2.3501,1743067.0
2025-05-19 10:00:55,2.3328,2.3328,2.3328,2.3377,2.3228,2.334,2574567.0
2025-05-19 10:30:55,2.3442,2.3442,2.3442,2.3444,2.327,2.3329,522728.0
2025-05-19 11:00:55,2.3278,2.3278,2.3278,2.3519,2.3271,2.3444,275219.0
2025-05-19 11:30:55,2.2838,2.2838,2.2838,2.3276,2.2817,2.3276,28406616.0
2025-05-19 12:00:55,2.3092,2.3092,2.3092,2.3145,2.2827,2.2833,2135701.0
2025-05-19 12:30:55,2.3048,2.3048,2.3048,2.3167,2.3048,2.3089,1878855.0
2025-05-19 13:00:55,2.2969,2.2969,2.2969,2.3075,2.2883,2.3045,2081112.0
2025-05-19 13:30:55,2.3052,2.3052,2.3052,2.3075,2.286,2.2952,1407791.0
2025-05-19 14:00:55,2.3132,2.3132,2.3132,2.3153,2.295,2.3049,1185853.0
2025-05-19 14:30:55,2.3135,2.3135,2.3135,2.3178,2.3102,2.3136,662266.0
2025-05-19 15:00:55,2.3099,2.3099,2.3099,2.3142,2.3026,2.3136,442359.0
2025-05-19 15:30:55,2.3147,2.3147,2.3147,2.3222,2.304,2.31,433842.0
2025-05-19 16:00:55,2.3186,2.3186,2.3186,2.3233,2.3136,2.3148,714377.0
2025-05-19 16:30:55,2.3237,2.3237,2.3237,2.3255,2.3157,2.3187,379965.0
2025-05-19 17:00:55,2.3107,2.3107,2.3107,2.3258,2.3035,2.3237,917160.0
2025-05-19 17:30:55,2.2983,2.2983,2.2983,2.3107,2.2904,2.3107,2548544.0
2025-05-19 18:00:55,2.3101,2.3101,2.3101,2.3113,2.2969,2.2986,984361.0
2025-05-19 18:30:55,2.3228,2.3228,2.3228,2.3315,2.3046,2.3114,2440916.0
2025-05-19 19:00:55,2.33,2.33,2.33,2.3416,2.3179,2.3231,2074965.0
2025-05-19 19:30:55,2.3441,2.3441,2.3441,2.3486,2.3295,2.33,1699845.0
2025-05-19 20:00:55,2.3382,2.3382,2.3382,2.3587,2.3352,2.3441,1096370.0
2025-05-19 20:30:55,2.3509,2.3509,2.3509,2.3535,2.3364,2.3383,882654.0
2025-05-19 21:00:55,2.3525,2.3525,2.3525,2.3526,2.3368,2.3491,656159.0
2025-05-19 21:30:55,2.366,2.366,2.366,2.3668,2.3436,2.3531,1741377.0
2025-05-19 22:00:55,2.3675,2.3675,2.3675,2.381,2.3639,2.3664,2765270.0
2025-05-19 22:30:55,2.369,2.369,2.369,2.3727,2.3626,2.3668,421924.0
2025-05-19 23:00:55,2.3598,2.3598,2.3598,2.3734,2.3557,2.3689,832021.0
2025-05-19 23:30:55,2.3676,2.3676,2.3676,2.3745,2.351,2.359,880691.0
2025-05-20 00:00:55,2.3738,2.3738,2.3738,2.3786,2.3651,2.3678,408992.0
2025-05-20 00:30:55,2.3999,2.3999,2.3999,2.4,2.371,2.3744,637102.0
2025-05-20 01:00:55,2.3917,2.3917,2.3917,2.3996,2.3825,2.3996,1479878.0
2025-05-20 01:30:55,2.3896,2.3896,2.3896,2.3917,2.3818,2.3917,684538.0
